id,playCount,popularity
6907228749016714497,44800,0.0443556253657951
6875468410612993286,838100,0.8380246814768868
6902819837345533186,94900,0.09447893270370722
6905635666588192002,115300,0.1148884231167493
6895303013867539713,62200,0.06176372012986039
6884590643327290625,81200,0.08077255924004662
6906514963569888513,8071,0.007609538435372449
6894206452450217217,95800,0.09537935139840026
6902751117805899009,39300,0.03885306667600435
6886417103046380801,65900,0.06546544143026507
6883211681988627714,45700,0.04525604406048813
6906571896683285761,61500,0.061063394478432474
6907334602017344774,174400,0.17401591740159175
6883094233935252737,346500,0.34619598113122607
6906818204966915330,71400,0.07096800012005583
6876318382703070465,74700,0.07426953533393027
6900948690186407170,90700,0.09027697879513974
6875323773755657474,48000,0.04755711405803699
6884935459110178049,11300,0.010840040618887783
6892805816492084481,46800,0.04635655579844628
6886765050355289346,50400,0.04995823057721841
6875370613523909890,22000,0.021545018433571612
6890189236130073857,55100,0.05466041709394869
6901321371113032962,155600,0.15520717133467063
6893611785295793410,49200,0.0487576723176277
6888873392234056962,943,0.0004782223734036327
6879952519586450690,44100,0.043655299714367185
6884933059758755073,3456,0.0029923914620298437
6895846066961337601,161600,0.16120996263262416
6884933447480003842,5189,0.004726197681922094
6883604590525156609,197300,0.1969265708554478
6886215675350666497,9315,0.008854117164481484
6899411430660001026,34700,0.034250926680906624
6898613799402753281,96400,0.09597963052819561
6885861410329332998,64000,0.06356455751924645
6879772200065436929,47500,0.047056881449874195
6893119957534510338,1084,0.0006192879689055411
6881624031561354498,61800,0.06136353404333015
6896541657471241474,6599,0.006136853636941178
6884688821976354049,99400,0.09898102617717239
6906870391466216709,64300,0.06386469708414412
6901020148426099969,62300,0.06186376665149295
6898035916682710274,50900,0.050458463185381205
6901681280128208130,18100,0.017643204089901807
6887645369895898369,173100,0.17271531262036846
6905029441760578818,45700,0.04525604406048813
6879842043880017154,130100,0.12969530831836804
6899136673347685634,776800,0.776696163716128
6906170881626754309,86200,0.08577488532167457
6902412854188674306,63200,0.06276418534618597
6897664007780568321,35900,0.03545148494049733
6879055868676132097,654200,0.6540391281946105
6882975789143379201,34800,0.03435097320253919
6875639469563759873,47300,0.046856788406609076
6896962911969758466,44700,0.04425557884416254
6879756807481363714,246700,0.246349552541932
6905705430886944002,49400,0.048957765360892816
6884970166489271557,99600,0.0991811192204375
6902680579989359874,246400,0.24604941297703434
6897704483288124673,582400,0.5822057256624331
6891973965238111489,55500,0.05506060318047892
6881218787157216514,171200,0.17081442870934985
6906604842081357057,70100,0.06966739533883255
6895890526185213186,58500,0.0580619988294557
6904279792388984066,103000,0.10258270095594452
6903247940127640834,197200,0.19682652433381523
6895453128989101313,44000,0.04355525319273462
6905505804959452417,198500,0.1981271291150385
6902725059429911809,124000,0.12359247049878193
6903809474268646658,102400,0.10198242182614915
6884981528430988546,109200,0.10878558529716317
6908111363365768453,89500,0.08907642053554903
6879440891853982978,66600,0.06616576708169299
6902396851106925825,6458,0.005995788041439269
6877337975030598917,63700,0.06326441795434877
6907233534893640965,139300,0.13889958830856347
6876760427229957377,83200,0.0827734896726978
6886872042411494658,202200,0.20182885041544318
6900302214896618757,53800,0.05335981231272542
6884265104637005057,198500,0.1981271291150385
6880877914078842113,3854,0.0033905766181274296
6903738407227297026,10400,0.009939621924194751
6908309278365404418,12800,0.01234073844337617
6901815472178646274,345000,0.34469528330673765
6877036154982616321,1896,0.0014316657245619212
6901670973137898753,196900,0.19652638476891754
6888474204623195397,269900,0.26956034556068575
6907692740469902593,623000,0.6228246134452521
6881662658794294529,252600,0.252252297318253
6889502513469410565,326400,0.32608663028308166
6885802277555293441,117800,0.11738958615756327
6893192903749913858,26200,0.025746972342139098
6898791307016146177,97900,0.097480328352684
6886517104871279874,59400,0.058962417524148734
